tweet,original_sentiment
"Seattle to provide $800 in supermarket vouchers to thousands of families during coronavirus crisis, mayor says https://t.co/jupy1W34KK to more than 6,000 families to help them buy food, cleaning supplies and other household goods",Negative
"THANK YOU GROCERY STORE EMPLOYEES, FARMERS, TRUCKERS, HEALTHCARE WORKERS, RETAIL EMPLOYEES THAT ARE STILL WORKING, AND ALL OTHER ESSENTIAL INDIVIDUALS OFFERING YOUR LIVES TO HELP FIGHT COVID-19 ??",Positive
"Coronavirus Live Updates: France Struggling to Curb COVID-19 Spread



https://t.co/qLlMyCxLYv



Download The Epoch Times app to see our exclusive Coronavirus coverage and daily updates:https://t.co/Q2viIcSFPD",Negative
"The City of Chicago's Department of Business Affairs & Consumer Protection (BACP) is soliciting your feedback as they develop resources and measures to support small businesses that have been impacted by COVID-19 (survey)

 https://t.co/nuuhfhW5Ut",Positive
"Is buying 14 days worth of food and supplies stock piling? After boris' conference a few mins ago I'd say it's the sensible thing to do, within reason. #stockpiling #COVID2019 #QuarantineLife",Positive
panic buying after first infection of covid-19 in the USA @nytimestech #COVID19 https://t.co/S2SH0fGGtP https://t.co/d4I5tFNHe0,Negative
The Dubai based Majid Al Futtaim says it will be reducing its working hours at malls it operates to eight hours excluding its supermarket chain Carrefour and pharmacies within the malls as a measure to stop the spread of 19,Negative
"Ummmmmmmmmm, how bout, shit you need?! The jeanyuses at @CNN providing rock-solid information, as always. Ay Dios mio! ? #FakeNews #coronavirus 

https://t.co/X22lyFwgAI",Negative
407 new confirmed cases in the UK Please remember that many many more people have Covid 19 infection but are self isolating and not being tested So our statistics are skewed Take care Wash hands Stay away from groups Stop panic buying the elderly need food too,Negative
"Oil Prices down

Exchange Markets down



Machine Learning in

Network Technology in



New World is loading



#COVID19france 

#COVID19germany 

#Covid19usa 

#COVID19turkey

#ChineseVirus 

#COVID2019 

#stayhome

#QuarantineLife",Neutral
"#Coronavirus Panic Clears Store Shelves, Leaving Autistic Child with Food Aversions Nothing to Eat | The #Autism Site Blog https://t.co/SjsnErVUwz",Extremely Negative
"My kids gon be writing essays on how COVID-19 acted as an economic shock internationally. Influencing global trade, consumer behaviour and equity markets.",Negative
Don t underestimate the power of a kind word to someone right now There are a lot of people being really awful to health care provider grocery store staff and I m sure many others Smile and say thanks for doing your best at a tough time can mean everything for them 19,Extremely Positive
NEW PRICE LIST NEW METHODS NO NONSENSE Check out our Facebook page for more visible prices    ,Extremely Negative
"Idiots in the Wild, part 5,324: Moronavirus Version ?? 24 Pictures That Prove Americans Have No Idea How To Deal With Coronavirus #panicshopping #Coronavirus #TrumpPlague  https://t.co/4kyXM5QNUW",Negative
Addresses Nation Two committees made 1 National Co ordination Committee 2 Economic Committee Says we ll ensure  hoarders  don t artificially increase prices We will come down strongly against hoarders              ,Extremely Positive
"1st Wave - From China

2nd Wave - Local Mass Gathering

3rd Wave - Supermarket, Balik Kampung Transport, Police Station Gathering

4th Wave - Sampai Kampung Gathering



#RestrictedMovementOrder #COVID2019",Neutral
"The Supreme Committee for Dealing with Covid 19: Closing all stores in commercial complexes, except for food and consumer catering stores, clinics, pharmacies and optical stores.",Positive
"Dubai Becomes Cheaper To Live In

#Dubai #UAE #Cheap #Economy #Coronavirus #consumer #Residence #Citizens #Education #Knowledge  https://t.co/R2dhTIxDd4",Neutral
"Picture #01 

Yesterday last night me and dad went to the grocery store to buy a simple things but we were waiting for some store to calm down of people freak out mode of buying stuff they don't need that much because #Coronavirus/#COVID2019 came



But you could say some aisle are https://t.co/vhGf2cYpYU",Negative
"@1005FreshRadio

#SocialDistancing

#coronavirus 

#COVID19

Kids HOME 

Need Groceries

Didnt Stock UP for WEEKS

Or Buy ALL TP

Family of 6+?

Dogs & Cats

We Need Food

No Fruits,Veggies,Chicken,Ground Beef,Potatoes,Bread,Soup or Pasta

",Negative
Breaking Gas prices dropping tonight 9 cents putting price at 1 10 9 litre in Metro Van lowest in 17 years reason because of drop in demand with people staying home energy sector will suffer,Extremely Negative
 Supply is flowing machines are running and the product will make it s way back to the shelf   says Doug Baker FMI CBS News,Neutral
"#Coronavirus #torbay pm Boris Johnson says to self isolate and seek help of others. For us pensioners at risk pensioners online shopping wold be essential but as locals we cannot get a near future delivery slot from SAINSBURYS supermarket where, under normal times, we shop.",Neutral
"FACEBOOK LIVE: @SandroDemaio from @VicHealth joins @Raf_Epstein on #Drive to speak about staying safe and well during the #coronavirus pandemic.



Join the conversation: https://t.co/sc8r0gIMvN",Extremely Positive
"Lav Aggarwal, Joint Secretary, Union Health Ministry: ICMR (Indian Council of Medical Research) has strongly appealed that private laboratories should offer COVID-19 diagnosis at no cost. #Coronavirus https://t.co/JhlgRj4DRt",Neutral
Didn t buy a mask follow what authorities say Didn t buy hand sanitizer using soap Didn t stock food items useless Not in panic mode instead boosting immune system No worries positive thinking Not bored doing what I love to do,Extremely Positive
"Gas prices are set to tumble again.



Tomorrow, prices at the pump will be 77.9 cents per litre in #Toronto, says @RogerMcKnight.



Full story on @torontodotcom - https://t.co/imGo63G5Ot #COVID19 #coronavirus #COVID2019 #CoronavirusOutbreak #CoronavirusPandemic #Coronavirustoronto",Neutral
"After braving the local grocery store, in a town of 55,000, I am officially scared. Not of #COVID2019 but of people. How easily manipulated people are, how selfish they are, and how we react in a time of crisis. This  crisis isn't even a big one...",Extremely Negative
Stock Up Don t Hoard A Checklist of What You Need In Case of a Outbreak From medicines to food here s how to create a household plan in case you or your family needs to self quarantine,Positive
Online grocery shopping first trial #coronavirus #QuarantineLife #Telemedicine #psychtwitter #MedEd #CAPtwitter #WorkFromHome #ParentingInAPandemic https://t.co/yS0a4R8H0k,Neutral
"People stand in a queue to enter a supermarket during the outbreak of coronavirus disease (COVID-19) in El Masnou, north Barcelona, Spain, March 17, 2020. REUTERS/ Albert Gea reuters #coronavirusespaÃÂ±a #covid_19Ã¢ÂÂ¦ https://t.co/ivL9tXZrtM",Neutral
"@British_Airways Nope. @British_Airways has choices here. Prices are higher because ba chooses to raise prices on people trying to return home during a travel ban. Wrong. Evil. 



#COVID2019",Extremely Negative
"@vons @kroger @RalphsGrocery @Albertsons @WinCoFoods @pavilions @StaterBrosMkts @gelsonsmarkets @bristolfarms  

TIME TO STEP UP 



https://t.co/3J5wPm6jVX",Neutral
"@amazon says it plans to hire 100,000 new workers for warehouses and delivery service in the #US as more people turn to online shopping for supplies as they're isolated at home during the #coronavirus outbreak.",Negative
Watch out for a surge in emails from cybercriminals pitching COVID-19 health information and fake cures Read in Consumer Reports: https://t.co/PSeeMpVMhw,Negative
I can t believe I have to say this but on behalf of my best friend who is stuck in GameStop retail hell rn because her store is refusing to close IF YOU ARE IN QUARANTINE BECAUSE YOU HAVE BEEN EXPOSED TO COVID 19 DON T LEAVE YOUR HOME TO BUY VIDEO GAMES YOU SELFISH JACKASS,Extremely Negative
"I Think Mike DeWine Is Doing The Right Thing By Limiting Social Interactions Until This #Coronavirus Shit Gets Under Control, But What About Grocery Store Workers... It Has Been Soooo Many People In These Grocery Stores ""PANIC BUYING""",Extremely Negative
"Hawaii Attorney General Clare E. Connors and Hawaii Office of Consumer Protection Executive Director Stephen Levins are urging the Hawaii public to beware of, and report, scams and price gouging related to the ongoing COVID-19 pandemic. Call 587-4272 or https://t.co/6YTXPZ5ug9",Negative
"This is no time to bash any elected officials.  States of emergency are reactive but everything is fluid right now.  For now, everyone must stay vigilant, do not panic, don't hoard food and take the necessary precautions. #COVID2019 #onpoli",Positive
Dear fighters According to experts peple with disease ve higher of Therefore u r requested to take care Make a habit of washing hands drink plenty of water eat nutritious food Don t panic with infection but take care,Extremely Positive
Food and Beverage Retailers in Canada Hit Hard Amid COVID-19 Panic https://t.co/4vZL3Xlrme #RetailInsider #Retail #Canada,Negative
"With COVID-19 now officially a pandemic, the first step healthcare payers (and all employers) must take is trifold: ensure business resiliency, establish a crisis response structure, and secure employee safety. Payers will specificÃ¢ÂÂ¦https://t.co/ksRQ2nNrGH https://t.co/59MzoKkcb1",Positive
"#Retail #Amazon #CONVID19 #Coronavirus Surge in online shopping means Amazon is ""adding 100,000 new full-time and part-time positions across the United States to keep up with the demand."" https://t.co/9vNeIwD9xi",Positive
Breaking News: Microsoft is closing down its retail stores until further notice due to #coronavirus. Check it out here at OnMSFT. https://t.co/RIAEJJPM5Y,Neutral
"While people are busy looking after themselves & stock piling food & toilet roll. We wanted to say a big thank you to those who put others first - whatever the situation!



#Nurses #Nurses2020 #NHS #ActsOfKindness #ThankYou #TuesdayThoughts #COVID2019 #DontBeASpreader #business # https://t.co/t3ILzVT1F0",Positive
Today's BCREA Market Intelligence Report: Sketching Out the Potential Impact of COVID-19 on the BC Housing Market explores how the recent coronavirus outbreak could impact BC home sales and prices through 2020. Read the full report here: https://t.co/mOQqJA7aED. #bcreaEcon https://t.co/P1Mx4di1RF,Positive
Canadians  do not need to panic  about food shortages amid COVID 19 experts say National,Positive
"NIELSEN SIX CONSUMER BEHAVIOR THRESHOLDS OF COVID-19 CONCERN 



#coronavirus #SEO #SEM #SMO #SMM #websitedesign #websitedevelopment #mobileappdevelopment #DigitalMarketing https://t.co/kSmLhRUAlt",Neutral
"@AGKarlRacine Sir, the District's Sick and Safe Leave Act is an apparent human rights violation (see images)



https://t.co/r55LLXzE40 https://t.co/MHMsNaUIx8",Negative
US Food Industry Scrambles To Resupply Stores Amid Apocalyptic Surge In Demand | Zero Hedge https://t.co/Pw9QbGcE1j #coronavirus #CoronavirusOutbreak #COVID19,Extremely Negative
"Shoe Zone says its 500 high street and Big Box retail park stores have seen drop in shoppers since Covid-19 reached the UK

https://t.co/rH7Kr1PxBv",Negative
"Women wearing mark shop at a supermarket in Foster City, San Francisco Bay Area, the US, March 9, 2020. There were 605 confirmed cases of COVID-19 in the US and 22 died as of 20:00, EDT, on March 9. (Photo by Liu Guanguan/CNSPHOTO) https://t.co/nw583b2oUt",Negative
Sephora says that it is closing all of its stores in Canada and the U.S. from March 17 through April 3.  Full list of closures:  https://t.co/uewFe3QkMj,Neutral
"Outbreak undermines consumer spending, small biz chamber CEO says ... and he has an idea for what might help during #COVID2019 https://t.co/CjfqofpwgX @SCSBCC #chs #sc",Positive
"Canadians 'do not need to panic' about food shortages amid COVID-19, experts say - Global News has been published on Canada News Media - https://t.co/TpCIXq2F4p #news https://t.co/ShgLa32QmS",Positive
"New Interactive Consumer Spending Report: COVID-19 Pandemic Impacts Consumer Economic Index. ""Despite the circumstances, retail spending is expected to continue through the next 30 daysÃ¢ÂÂ¦"" #Retail #restaurants #coronavirus

https://t.co/B2x2RfPPdu",Neutral
"China's consumer prices will rise at a slower pace over rest of 2020 as China has largely curbed spread of COVID-19 and business activities have steadily returned to normal, an official said Tuesday. There's no basis for overall price hikes.",Negative
"If the event you're heading to has been cancelled due to #Coronavirus and you bought tickets from an official seller, you should get a refund. 



Find our latest #Coronavirus consumer advice https://t.co/yRjW8ulHjA https://t.co/Ww1o0UFddy",Negative
Confirmed case of Covid-19 in Dunedin.  I know we'll come together and support each other through this as other communities are around the world. Pitchforks and firebrands to the Octagon at 7pm. Save your firearms and ammunition for the supermarket shoot-out this weekend,Positive
"STOCK UP AND SAVE!?

Mix & match our Take N' Bake dough & Cookie Mix...buy 2, get a 3rd bag FREE! ?



Spend over $40 & get FREE DELIVERY!?

?

Call 780-570-5080 or email sales@confettisweets.ca to order.?

?

*#shpk shop only ?

?

#yeg #yegfood #shoplocal #coronavirus #stockup https://t.co/kMFHhHNnNH",Extremely Positive
"#COVID19: In an exclusive conversation with Construction Week, CEO of Dalma Capital, Zachary Cefaratti, talks about the effects of #coronavirus on consumer behaviour and demand | #ecommerce #retail #DalmaCapital

 https://t.co/YYAd3rexY6",Neutral
"* Cool Brewery Response to COVID-19



Cool Brewery will continue to navigate the unfolding situation with everyone's safety in mind. Cool will follow the guidance and recommendations of Federal and Provincial public health officials.



Our brewery retail store will remain open for https://t.co/PbflG0iNDM",Extremely Positive
"GROCERY STORE HOURS FOR SENIORS! Now includes Northgate Gonzalez Markets, Vallarta Supermarkets, Super A Foods and Big Saver Foods. #Seniors #Coronavirus https://t.co/V17h0DvM1o",Positive
China consumer impact from COVID-19 ?????? $BABA $JD $PDD $TCEHY $TCOM $WYNN $LVS $MLCO $IQ $BILI $YUMC DM or email craig@bespokeintel.com for more data https://t.co/WZF1Mk5kKh,Neutral
"Some great advice here about managing your mental health during this period:



https://t.co/PzFnYyHt2S



BBC: Protecting your mental health https://t.co/AQVSBTD7vS



Talking to your anxious child/teen about coronavirus https://t.co/yiBdf1vKjH



Anxiety UK: https://t.co/lS37Eqti3G",Positive
"proud to say @rebecca_mehra inspired me. I noticed an elderly couple looking nervous before entering the grocery store. When I offered to help them, they seemed so relieved. If you're able to, consider offering to help others. #COVID2019 #SocialDistancing",Extremely Positive
What to buy at the grocery store during a pandemic - CNN #coronavirus https://t.co/TXinaul818,Neutral
"#Amazon Is Hiring 100,000 Workers to Handle the Increase in Online Shopping The company will expand its warehouse and delivery force to cope with increased demand #Coronavirus #pandemic.  https://t.co/LjTW78FKz2 #CoronavirusOutbreak #COVID19 #COVID19AB #Coronavirustoronto",Extremely Positive
"@Reuters #COVID2019 Stock up now! 

   You think it's bad? What happens when the supply chain fails? Huh, what's that? Those making and delivering your goods. Let's say 1% of the long haul truck drivers get sick, can't drive. 350 million Americans. Sudde",Extremely Negative
"JUST IN: Pwani Oil announces 5 percent price reduction in cooking oil and soap prices to encourage Kenyans to take protective measures against #Coronavirus; firm will also provide 150 handwashing kits in public places in major towns

#WeShallOvercome #Covid19KE https://t.co/IUAt9V7SCo",Positive
"As #coronavirus increases food demand, #Houston grocers say they're ready #HEB #Kroger #Randalls https://t.co/yCBgWUyQqF https://t.co/o0NIpoGNNt",Positive
"The next person to say ""calm down"" after bulk-buying everything & cutting lines at the grocery store won't need 100 rolls of TP because I will DRAG YOUR ASS so hard you'll have nothing left to wipe!



I'M?NOT?PLAYING?



#ToiletPaperEmergency

#coronavirus

#CoronavirusOutbreak",Extremely Negative
"Coronavirus Update: Supply Chain, Food Shortages, Stock Market https://t.co/JpGMR5HcSc #Pandemic #Coronavirus #COVID-19 #supplychain #economy #disease #infectious",Negative
